date,neg,neu,pos
2010-01-01 00:00:00,1,13,9
2010-02-01 00:00:00,0,7,2
2010-03-01 00:00:00,1,13,9
2010-04-01 00:00:00,9,15,13
2010-05-01 00:00:00,42,47,59
2010-06-01 00:00:00,45,97,61
2010-07-01 00:00:00,115,165,123
2010-08-01 00:00:00,108,166,102
2010-09-01 00:00:00,115,179,130
2010-10-01 00:00:00,151,207,170
2010-11-01 00:00:00,175,276,210
2010-12-01 00:00:00,203,341,211
2011-01-01 00:00:00,291,386,272
2011-02-01 00:00:00,369,499,315
2011-03-01 00:00:00,493,591,403
2011-04-01 00:00:00,677,882,534
2011-05-01 00:00:00,982,1166,845
2011-06-01 00:00:00,1379,1784,1216
2011-07-01 00:00:00,1629,2116,1352
2011-08-01 00:00:00,2648,3372,2404
2011-09-01 00:00:00,2980,3489,2584
2011-10-01 00:00:00,2797,3773,2647
2011-11-01 00:00:00,2925,4577,2667
2011-12-01 00:00:00,3659,5261,3163
2012-01-01 00:00:00,4211,6085,3743
2012-02-01 00:00:00,4096,5505,3570
2012-03-01 00:00:00,3813,5580,3556
2012-04-01 00:00:00,5237,7386,4745
2012-05-01 00:00:00,5618,6942,4383
2012-06-01 00:00:00,6900,8271,5407
2012-07-01 00:00:00,6579,9155,5328
2012-08-01 00:00:00,7640,10309,6366
2012-09-01 00:00:00,7886,9637,5683
2012-10-01 00:00:00,11337,15735,9312
2012-11-01 00:00:00,10989,14838,8785
2012-12-01 00:00:00,11133,15114,8666
2013-01-01 00:00:00,12126,15372,9194
2013-02-01 00:00:00,14540,16838,9889
2013-03-01 00:00:00,16315,18962,11299
2013-04-01 00:00:00,15928,21272,12010
2013-05-01 00:00:00,17778,20432,12458
2013-06-01 00:00:00,18609,22338,12648
2013-07-01 00:00:00,19124,21449,11692
2013-08-01 00:00:00,18150,22287,12766
2013-09-01 00:00:00,17730,22240,12573
2013-10-01 00:00:00,22921,26624,14660
2013-11-01 00:00:00,20504,26509,12608
2013-12-01 00:00:00,18209,21890,11394
2014-01-01 00:00:00,19722,24836,12556
2014-02-01 00:00:00,20323,22603,11950
2014-03-01 00:00:00,20886,24148,12341
2014-04-01 00:00:00,21781,24672,13919
2014-05-01 00:00:00,22357,26547,13745
2014-06-01 00:00:00,20482,22899,12331
2014-07-01 00:00:00,21172,25676,13254
2014-08-01 00:00:00,23811,25723,14962
2014-09-01 00:00:00,22622,25868,14883
2014-10-01 00:00:00,22243,25600,14314
2014-11-01 00:00:00,23945,29225,14925
